pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
60,(+1),Assad Vala,58613,184,Papua New Guinea,PNG,750,Papua New Guinea,https://www.icc-cricket.com/teams/750/papua-new-guinea-men/,71,141 v Bangladesh at Oman 2021,2026-03-01,https://www.icc-cricket.com/rankings/58613/assad-vala
=,(+1),Rishad Hossain,70203,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,71,91 v India at Gwalior 2024,2026-03-01,https://www.icc-cricket.com/rankings/70203/rishad-hossain
62,(+1),Saad Bin Zafar,40433,12,Canada,CAN,12,Canada,https://www.icc-cricket.com/teams/12/canada-men/,70,70 v Afghanistan at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/40433/saad-bin-zafar
=,(-5),Gudakesh Motie,64262,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,70,74 v Zimbabwe at Mumbai 2026,2026-03-01,https://www.icc-cricket.com/rankings/64262/gudakesh-motie
=,(+1),Milind Kumar,14885,20,USA,USA,22,USA,https://www.icc-cricket.com/teams/22/usa-men/,70,70 v Namibia at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/14885/milind-kumar
65,(-2),Shaheen Afridi,66833,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,69,73 v India at Dubai 2025,2026-03-01,https://www.icc-cricket.com/rankings/66833/shaheen-afridi
=,(+1),Aaron Hardie,68072,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,69,108 v West Indies at St Kitts 2025,2026-03-01,https://www.icc-cricket.com/rankings/68072/aaron-hardie
67,(+1),Muhammad Asim,105173,192,Qatar,QAT,1763,Qatar,https://www.icc-cricket.com/teams/1763/qatar-men/,68,73 v Bahrain at Doha 2026,2026-03-01,https://www.icc-cricket.com/rankings/105173/muhammad-asim
68,(+1),Roelof van der Merwe,5305,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,67,119 v Papua New Guinea at Dubai 2019,2026-03-01,https://www.icc-cricket.com/rankings/5305/roelof-van-der-merwe
=,(-2),Akeal Hosein,57239,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,67,93 v Nepal at Sharjah 2025,2026-03-01,https://www.icc-cricket.com/rankings/57239/akeal-hosein
=,(+1),Brad Evans,69377,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,67,67 v South Africa at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/69377/brad-evans
71,( - ),Gulbadin Naib,56961,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,66,101 v Bangladesh at St. Vincent 2024,2026-03-01,https://www.icc-cricket.com/rankings/56961/gulbadin-naib
72,( - ),Gulshan Jha,87400,170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,65,91 v USA at Dallas 2024,2026-03-01,https://www.icc-cricket.com/rankings/87400/gulshan-jha
=,(+40),Dunith Wellalage,69651,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,65,65 v Pakistan at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/69651/dunith-wellalage
74,( - ),Chris Greaves,71106,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,63,79 v West Indies at Hobart 2022,2026-03-01,https://www.icc-cricket.com/rankings/71106/chris-greaves
=,( - ),Michael Levitt,107562,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,63,71 v Guernsey at Netherlands 2025,2026-03-01,https://www.icc-cricket.com/rankings/107562/michael-levitt
76,( - ),Richie Berrington,4023,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,61,209 v Ireland at Malahide 2019,2026-03-01,https://www.icc-cricket.com/rankings/4023/richie-berrington
=,( - ),Mark Watt,64635,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,61,63 v Italy at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/64635/mark-watt
=,(-3),Dhananjaya de Silva,57440,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,61,106 v India at Mumbai 2023,2026-03-01,https://www.icc-cricket.com/rankings/57440/dhananjaya-de-silva
=,( - ),Tanzim Hasan Sakib,70921,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,61,63 v West Indies at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/70921/tanzim-hasan-sakib
80,(-1),Harsh Thaker,66021,12,Canada,CAN,12,Canada,https://www.icc-cricket.com/teams/12/canada-men/,59,65 v Bermuda at King City 2025,2026-03-01,https://www.icc-cricket.com/rankings/66021/harsh-thaker
=,(-1),Aryan Dutt,81030,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,59,59 v India at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/81030/aryan-dutt
82,(-1),Aamir Kaleem,58777,181,Oman,OMN,28,Oman,https://www.icc-cricket.com/teams/28/oman-men/,58,87 v Canada at Abu Dhabi 2019,2026-03-01,https://www.icc-cricket.com/rankings/58777/aamir-kaleem
83,(-1),Mehidy Hasan Miraz,63875,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,57,92 v Sri Lanka at Dambulla 2025,2026-03-01,https://www.icc-cricket.com/rankings/63875/mehidy-hasan-miraz
=,(-1),Nick Greenwood,73439,259,Jersey,JSY,1481,Jersey,https://www.icc-cricket.com/teams/1481/jersey-men/,57,57 v Scotland at Netherlands 2025,2026-03-01,https://www.icc-cricket.com/rankings/73439/nick-greenwood
=,(-1),Grant Stewart,67704,125,Italy,ITA,1298,Italy,https://www.icc-cricket.com/teams/1298/italy-men/,57,57 v West Indies at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/67704/grant-stewart
86,( - ),Saif Hassan,65319,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,56,56 v Ireland at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/65319/saif-hassan
=,(+20),Yasim Murtaza,31912,17,Hong Kong,HK,19,"Hong Kong, China","https://www.icc-cricket.com/teams/19/hong-kong,-china-men/",56,72 v Qatar at Doha 2024,2026-03-01,https://www.icc-cricket.com/rankings/31912/yasim-murtaza
88,(-6),Sean Williams,3682,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,55,232 v Nepal at Singapore 2019,2026-03-01,https://www.icc-cricket.com/rankings/3682/sean-williams
=,(-1),Rovman Powell,65291,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,55,66 v England at Southampton 2025,2026-03-01,https://www.icc-cricket.com/rankings/65291/rovman-powell
90,(-3),Benjamin Ward,72366,259,Jersey,JSY,1481,Jersey,https://www.icc-cricket.com/teams/1481/jersey-men/,54,60 v Ireland at Edinburgh 2023,2026-03-01,https://www.icc-cricket.com/rankings/72366/benjamin-ward
91,(+31),Mohammed Aslam,57913,134,Kuwait,KUW,1797,Kuwait,https://www.icc-cricket.com/teams/1797/kuwait-men/,53,53 v Hong Kong at Hong Kong 2026,2026-03-01,https://www.icc-cricket.com/rankings/57913/mohammed-aslam
92,(-1),Tilak Varma,70761,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,52,54 v Pakistan at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/70761/tilak-varma
=,(-5),Zakary Foulkes,90571,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,52,63 v Zimbabwe at Harare 2025,2026-03-01,https://www.icc-cricket.com/rankings/90571/zakary-foulkes
94,(-3),JJ Smuts,4353,125,Italy,ITA,1298,Italy,https://www.icc-cricket.com/teams/1298/italy-men/,51,51 v West Indies at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/4353/jj-smuts
=,(-3),Ruben Trumpelmann,67897,18,Namibia,NAM,20,Namibia,https://www.icc-cricket.com/teams/20/namibia-men/,51,54 v Netherlands at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/67897/ruben-trumpelmann
=,(-3),Alpesh Ramjani,68495,240,Uganda,UGN,29,Uganda,https://www.icc-cricket.com/teams/29/uganda-men/,51,56 v Zimbabwe at Harare 2025,2026-03-01,https://www.icc-cricket.com/rankings/68495/alpesh-ramjani
=,(-4),Jamie Overton,58482,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,51,53 v Pakistan at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/58482/jamie-overton
98,(-7),Daryl Mitchell,57444,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,50,54 v Sri Lanka at Auckland 2023,2026-03-01,https://www.icc-cricket.com/rankings/57444/daryl-mitchell
=,(-2),Matthew Short,63846,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,50,54 v Pakistan at Lahore 2026,2026-03-01,https://www.icc-cricket.com/rankings/63846/matthew-short
100,(-3),Nasum Ahmed,57999,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,49,61 v West Indies at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/57999/nasum-ahmed
