pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
23,( - ),Tim David,67402,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,613,680 v South Africa at Darwin 2025,2026-03-01,https://www.icc-cricket.com/rankings/67402/tim-david
24,(+1),Quinton de Kock,28035,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,608,686 v Sri Lanka at Colombo (RPS) 2021,2026-03-01,https://www.icc-cricket.com/rankings/28035/quinton-de-kock
25,(+1),George Munsey,64957,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,600,619 v Netherlands at Malahide 2019,2026-03-01,https://www.icc-cricket.com/rankings/64957/george-munsey
26,(-2),Tim Robinson,90292,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,596,666 v India at Nagpur 2026,2026-03-01,https://www.icc-cricket.com/rankings/90292/tim-robinson
27,(+4),Finn Allen,66046,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,594,730 v Pakistan at Dunedin 2024,2026-03-01,https://www.icc-cricket.com/rankings/66046/finn-allen
28,(+1),Josh Inglis,65893,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,590,730 v West Indies at St Kitts 2025,2026-03-01,https://www.icc-cricket.com/rankings/65893/josh-inglis
29,(+1),Cameron Green,66870,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,589,642 v Pakistan at Lahore 2026,2026-03-01,https://www.icc-cricket.com/rankings/66870/cameron-green
30,(-3),Kusal Perera,11757,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,587,786 v West Indies at Mirpur 2014,2026-03-01,https://www.icc-cricket.com/rankings/11757/kusal-perera
31,(-3),Shivam Dube,66044,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,583,592 v South Africa at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/66044/shivam-dube
32,( - ),Michael Levitt,107562,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,580,651 v Nepal at Glasgow 2025,2026-03-01,https://www.icc-cricket.com/rankings/107562/michael-levitt
33,(+4),Jacob Bethell,85736,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,570,580 v Italy at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/85736/jacob-bethell
34,(-1),Muhammad Waseem,79405,19,United Arab Emirates,UAE,21,United Arab Emirates,https://www.icc-cricket.com/teams/21/united-arab-emirates-men/,567,744 v Singapore at Oman 2022,2026-03-01,https://www.icc-cricket.com/rankings/79405/muhammad-waseem
35,(+4),Glenn Phillips,65295,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,560,710 v England at Brisbane 2022,2026-03-01,https://www.icc-cricket.com/rankings/65295/glenn-phillips
=,(-1),Saim Ayub,70241,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,560,593 v Netherlands at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/70241/saim-ayub
37,(-1),Babar Azam,59429,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,555,900 v England at Cardiff 2019,2026-03-01,https://www.icc-cricket.com/rankings/59429/babar-azam
38,(-3),Reeza Hendricks,4356,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,553,717 v West Indies at Jamaica 2024,2026-03-01,https://www.icc-cricket.com/rankings/4356/reeza-hendricks
=,(+2),Rovman Powell,65291,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,553,615 v England at Southampton 2025,2026-03-01,https://www.icc-cricket.com/rankings/65291/rovman-powell
40,(+25),Sanju Samson,61837,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,549,604 v England at Kolkata 2025,2026-03-01,https://www.icc-cricket.com/rankings/61837/sanju-samson
41,(-3),Salman Agha,64078,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,547,599 v Australia at Lahore 2026,2026-03-01,https://www.icc-cricket.com/rankings/64078/salman-agha
